Gene1	Gene2
A1BG	CRISP3
A1CF	APOBEC1
A1CF	CELF2
A1CF	KHSRP
A1CF	SYNCRIP
A1CF	TNPO2
A2BP1	MAFF
A2BP1	MAFK
A2M	ADAMTS1
A2M	AMBP
A2M	APOE
A2M	B2M
A2M	CPB2
A2M	EP300
A2M	FOXA1
A2M	FOXA2
A2M	HSPA5
A2M	IL10
A2M	IL4
A2M	KLK13
A2M	KLK3
A2M	LCAT
A2M	LEP
A2M	LRP1
A2M	MMP2
A2M	NGF
A2M	PAEP
A2M	TCF4
AAAS	CTCF
AAAS	PAX5
AACS	ACAT1
AACS	ACAT2
AACS	BDH1
AACS	BDH2
AACS	EHHADH
AACS	FAH
AACS	HADH
AACS	HMGCL
AACS	HMGCS1
AACS	HMGCS2
AACS	HSD17B10
AACS	HSD17B4
AACS	OXCT1
AACS	OXCT2
AADAC	CES1
AADAC	CES5A
AADAC	DDHD1
AADACL4	SETDB1
AADAC	LIPA
AADAC	PLA1A
AADAC	PPME1
AADAC	PRDX6
AADAT	AASDH
AADAT	AASDHPPT
AADAT	AFMID
AADAT	EPHA4
AADAT	FGFR2
AADAT	KMO
AADAT	OGDH
AADAT	OGDHL
AADAT	RAD21
AADAT	SCYL3
AAGAB	EIF3C
AAGAB	EP300
AAGAB	IRF1
AAGAB	SP1
AAGAB	TAF1
AAK1	CNOT10
AAK1	CSDE1
AAK1	CSRP3
AAK1	DDEFL1
AAK1	EIF2AK2
AAK1	FGR
AAK1	GATA2
AAK1	HINT2
AAK1	HLCS
AAK1	HNRPD
AAK1	HOXC8
AAK1	HRB
AAK1	KLHL13
AAK1	LOC51035
AAK1	MDM4
AAK1	MRPL18
AAK1	NEUROD1
AAK1	NFATC3
AAK1	NFATC4
AAK1	OTUD7B
AAK1	PAGE4
AAK1	PDLIM5
AAK1	PLG
AAK1	PTPMT1
AAK1	RELA
AAK1	RPS6KA2
AAK1	SCYL3
AAK1	SFRS4
AAK1	SOX10
AAK1	SOX2
AAK1	STK16
AAK1	TDRD3
AAK1	TSC22D3
AAK1	TSG101
AAK1	TTK
AAK1	WDR45L
AAK1	YES1
AAK1	ZCCHC14
AAK1	ZSCAN20
AAMP	FOS
AAMP	PBX3
AAMP	SIX5
AAMP	ZNF143
AANAT	ASMT
AANAT	DDC
AANAT	RAD21
AANAT	YWHAZ
AARS2	AGXT
AARS2	AGXT2
AARS2	CTCF
AARS2	GPT
AARS2	GPT2
AARS2	SCLY
AARS2	YWHAQ
AARS	AARS2
AARS	AGXT
AARS	AGXT2
AARS	CEBPB
AARS	FOS
AARS	GPT
AARS	GPT2
AARS	PBX3
AARS	SCLY
AASDH	AASDHPPT
AASDH	AASS
AASDHPPT	AASS
AASDHPPT	C19ORF62
AASDHPPT	MDFI
AASDHPPT	TRAF2
AASDHPPT	USP22
AASS	BTD
AASS	ICT1
AASS	MYC
AASS	TERF2
AATF	DAZAP2
AATF	E2F6
AATF	ELF1
AATF	LDOC1
AATF	LZTR1
AATF	MAGED1
AATF	MAPT
AATF	MAX
AATF	MPP6
AATF	PAWR
AATF	PCBD2
AATF	POLR2J
AATF	RB1
AATF	RBL1
AATF	RBL2
AATF	SP1
AATF	SS18L1
AATF	SUZ12
AATF	USF1
AATK	STK39
ABAT	ADC
ABAT	ALDH1A3
ABAT	ALDH1B1
ABAT	ALDH2
ABAT	ALDH3A1
ABAT	ALDH5A1
ABAT	ALDH6A1
ABAT	ALDH7A1
ABAT	ALDH9A1
ABAT	AOX1
ABAT	CNDP1
ABAT	GAD1
ABAT	GAD2
ABAT	GATM
ABAT	HIBADH
ABAT	HNF4A
ABAT	UPB1
ABCA10	RAD21
ABCA11P	FOS
ABCA11P	PBX3
ABCA11P	SP1
ABCA17P	CTCF
ABCA17P	CTCFL
ABCA17P	E2F6
ABCA17P	MAX
ABCA17P	NRF1
ABCA1	AOX1
ABCA1	APOA1
ABCA1	COPS2
ABCA1	COPS5
ABCA1	CREBBP
ABCA1	FADD
ABCA1	HGS
ABCA1	PRPF8
ABCA1	SDHB
ABCA1	SNTB2
ABCA1	UBC
ABCA1	UGP1
ABCA1	XPC
ABCA2	CACNA1A
ABCA2	CTCF
ABCA3	CTCF
ABCA3	CTCFL
ABCA3	E2F6
ABCA3	MAX
ABCA3	NRF1
ABCA4	CNGB1
ABCA5	E2F1
ABCA7	EBF1
ABCA7	PBX3
ABCA7	TAL1
ABCB10	E2F1
ABCB10	GATA1
ABCB10	GATA2
ABCB10	MXI1
ABCB10	TAL1
ABCB10	ZBTB7A
ABCB10	ZNF263
ABCB1	DHX9
ABCB6	TAF1
ABCB6	USF1
ABCB7	FECH
ABCB7	ICT1
ABCB8	FOS
